country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mauritius,2.64,2.8,2.97,3.16,3.36,3.57,3.8,4.05,4.31,4.59,4.89,5.21,5.54,5.9,6.27,6.66,7.08,7.52
Malawi,0.95,1,1.06,1.12,1.18,1.25,1.32,1.4,1.48,1.56,1.65,1.75,1.85,1.96,2.07,2.2,2.33,2.47
Malaysia,1.61,1.72,1.83,1.94,2.07,2.21,2.35,2.5,2.67,2.84,3.02,3.21,3.41,3.63,3.85,4.09,4.35,4.62
Namibia,10.14,10.52,10.91,11.31,11.72,12.13,12.56,12.99,13.43,13.88,14.34,14.82,15.3,15.8,16.31,16.84,17.38,17.93
Niger,11.48,11.95,12.45,12.96,13.49,14.03,14.59,15.15,15.71,16.27,16.84,17.41,17.97,18.53,19.09,19.65,20.22,20.78
Nigeria,14.53,15.04,15.55,16.06,16.57,17.09,17.61,18.12,18.64,19.17,19.69,20.23,20.77,21.32,21.88,22.45,23.02,23.61
Nicaragua,0.86,0.92,0.99,1.07,1.15,1.23,1.32,1.41,1.51,1.61,1.72,1.83,1.95,2.08,2.22,2.36,2.51,2.68
Netherlands,50.32,50.83,51.34,51.85,52.36,52.87,53.37,53.88,54.38,54.88,55.38,55.87,56.35,56.84,57.31,57.78,58.24,58.7
Norway,19.66,20.24,20.82,21.4,22,22.59,23.2,23.8,24.4,25.01,25.62,26.24,26.86,27.48,28.12,28.76,29.41,30.08
Nepal,12.87,13.32,13.77,14.22,14.68,15.15,15.64,16.16,16.72,17.31,17.93,18.58,19.26,19.96,20.67,21.41,22.16,22.93
Nauru,2.27,2.41,2.55,2.71,2.87,3.04,3.22,3.41,3.61,3.82,4.05,4.28,4.53,4.8,5.07,5.37,5.68,6.01
New Zealand,9.81,10.27,10.74,11.19,11.64,12.09,12.54,12.98,13.42,13.87,14.32,14.78,15.26,15.74,16.23,16.74,17.27,17.81
Oman,8.97,9.28,9.6,9.93,10.26,10.6,10.94,11.29,11.65,12.01,12.38,12.76,13.14,13.53,13.93,14.34,14.75,15.17
Pakistan,2.17,2.3,2.42,2.56,2.69,2.84,2.99,3.14,3.31,3.48,3.66,3.85,4.05,4.26,4.48,4.72,4.97,5.24
Panama,38.73,39.3,39.94,40.65,41.41,42.23,43.09,43.95,44.83,45.7,46.55,47.4,48.2,48.97,49.71,50.42,51.11,51.77
Peru,9.1,9.42,9.76,10.11,10.47,10.86,11.25,11.66,12.08,12.52,12.98,13.45,13.93,14.43,14.95,15.49,16.04,16.62
Philippines,15.6,16.01,16.44,16.87,17.31,17.76,18.22,18.69,19.16,19.64,20.12,20.61,21.11,21.61,22.12,22.63,23.16,23.7
Palau,2.85,2.99,3.13,3.27,3.42,3.58,3.75,3.92,4.09,4.28,4.47,4.67,4.88,5.1,5.33,5.57,5.82,6.09
